182,Harald,Brune,ETH Lausanne,EPF,Lausanne,"Conseiller national, Présedent de la division 2 du Fond National","Fond National pour la Recherche en Suisse, Bern",Education & research
183,Harald,Brune,ETH Lausanne,EPF,Lausanne,Hans-Fischer Senior Fellow,"Institute of Advanced Studies, Technical University of Munich, Garching",Education & research
184,Aymo,Brunetti,Uni Basel,UBA,Basel,NA,Fachhochschule Kalaidos,Education & research
185,Stefan,Bühler,Uni Zürich,UZH,Zurich,Vizepräsident,Wettbewerbskommission,"Politics, administration, justice system & security sector"
186,Andreas,Burg,ETH Lausanne,EPF,Lausanne,Technical consulting,"ACP Advanced Circuit Pursuit AG, Zürich","Industry, construction & agriculture"
187,Daniel,Buser,Uni Bern,UBE,Bern,NA,ITI Stiftung Basel,Education & research
188,Daniel,Buser,Uni Bern,UBE,Bern,NA,Kursaal Bern AG,"Commerce, trade & services"
189,Daniel,Buser,Uni Bern,UBE,Bern,NA,Osteology Stiftung Luzern,Pharma & health
190,George,Candea,ETH Lausanne,EPF,Lausanne,CEO and President (while on leave),"CodeTickler, CA, USA",Technology
191,Daniel,Candinas,Uni Bern,UBE,Bern,NA,CAScination AG,Pharma & health
192,Daniel,Candinas,Uni Bern,UBE,Bern,NA,"Fondazione Epatocentro Ticino, Lugano",Education & research
193,Daniel,Candinas,Uni Bern,UBE,Bern,NA,Forschungsstiftung Genaxen,Education & research
194,Daniel,Candinas,Uni Bern,UBE,Bern,NA,Insula Stiftung,Education & research
195,Daniel,Candinas,Uni Bern,UBE,Bern,NA,"Ruth & Arthur Scherbarth Stiftung, Bern","Society, Social, Culture & Sports"
196,Daniel,Candinas,Uni Bern,UBE,Bern,NA,Solothurner Spitäler AG,Pharma & health
197,Srdan,Capkun,ETH Zürich,ETH,Zurich,Geschäftsführer,Contego Laboratories GmbH,Technology
198,Basile,Cardinaux,Uni Freiburg,UFR,Fribourg,Anwalt,Selbstständig,Not classifiable
199,Basile,Cardinaux,Uni Freiburg,UFR,Fribourg,Vorstand,Pensionskasse des Staatspersonals Freiburg,Financial industry & insurances
200,Erick Moran,Carreira,ETH Zürich,ETH,Zurich,VR-Mandat,Glycemicon AG,Technology
201,Erick Moran,Carreira,ETH Zürich,ETH,Zurich,VR-Mandat,SpiroChem AG,Technology
202,Thierry,Carrel,Uni Bern,UBE,Bern,NA,Mobiliar Genossenschaft,Financial industry & insurances
203,Marina Silva,Cattaruzza,Uni Bern,UBE,Bern,NA,Universita della Svizzera Italiana,Education & research
204,Marco,Celio,Uni Freiburg,UFR,Fribourg,Verwaltungsratspräsident,Frimorfo S.A.,Technology
205,Marco,Celio,Uni Freiburg,UFR,Fribourg,Verwaltungsratspräsident,SWANT (Swiss antibodies) SA,Pharma & health
206,Volkan,Cevher,ETH Lausanne,EPF,Lausanne,Faculty Fellow,"Rice University, Houston, Texas",Education & research
207,Peter,Chen,ETH Zürich,ETH,Zurich,VR-Mandat,Clariant AG,Technology
208,Majed,Chergui,ETH Lausanne,EPF,Lausanne,Editeur in chief of Structural Dynamics,"American Institute of Phyiscs Publishing (AIPP), NY, USA",Media & communication
